id,x,y,z,timestamp
1,0.55,0.12,-0.24,2025-09-26T18:28:53.545433
2,0.55,0.12,-0.24,2025-09-26T18:28:53.547370
3,0.55,0.12,-0.24,2025-09-26T18:28:53.903612
4,0.49,0.12,-0.24,2025-09-26T18:28:53.905362
5,0.49,0.06,-0.24,2025-09-26T18:28:54.313613
6,0.55,0.12,-0.24,2025-09-26T18:28:54.470063
7,0.55,0.12,-0.24,2025-09-26T18:28:54.788723
8,0.55,0.06,-0.24,2025-09-26T18:28:54.791225
9,0.55,0.06,-0.24,2025-09-26T18:28:55.124084
10,0.55,0.12,-0.24,2025-09-26T18:28:55.381068
11,0.55,0.12,-0.24,2025-09-26T18:28:55.383505
12,0.55,0.12,-0.24,2025-09-26T18:28:55.733790
13,0.55,0.06,-0.24,2025-09-26T18:28:55.736567
14,0.55,0.12,-0.24,2025-09-26T18:28:56.054496
15,0.55,0.12,-0.24,2025-09-26T18:28:56.361511
16,0.55,0.12,-0.24,2025-09-26T18:28:56.677233
17,0.49,0.12,-0.24,2025-09-26T18:28:56.682465
18,0.55,0.06,-0.24,2025-09-26T18:28:56.929264
19,0.49,0.12,-0.18,2025-09-26T18:28:56.934586
20,0.49,0.06,-0.24,2025-09-26T18:28:57.231540
21,0.55,0.12,-0.24,2025-09-26T18:28:57.539620
22,0.49,0.06,-0.18,2025-09-26T18:28:57.541657
23,0.55,0.12,-0.24,2025-09-26T18:28:57.850108
24,0.55,0.12,-0.24,2025-09-26T18:28:58.215483
25,0.49,0.06,-0.24,2025-09-26T18:28:58.463375
26,0.55,0.12,-0.24,2025-09-26T18:28:58.468757
27,0.55,0.12,-0.24,2025-09-26T18:28:58.767449
28,0.55,0.12,-0.24,2025-09-26T18:28:59.127796
29,0.55,0.12,-0.18,2025-09-26T18:28:59.132002
30,0.55,0.12,-0.24,2025-09-26T18:28:59.432902
31,0.55,0.06,-0.24,2025-09-26T18:28:59.438076
32,0.55,0.12,-0.24,2025-09-26T18:28:59.742251
33,0.55,0.12,-0.24,2025-09-26T18:29:00.048970
34,0.55,0.12,-0.24,2025-09-26T18:29:00.051672
35,0.55,0.12,-0.24,2025-09-26T18:29:00.356149
36,0.55,0.12,-0.24,2025-09-26T18:29:00.616617
37,0.55,0.12,-0.31,2025-09-26T18:29:00.622905
38,0.55,0.06,-0.24,2025-09-26T18:29:00.921817
39,0.55,0.06,-0.24,2025-09-26T18:29:01.278763
40,0.55,0.12,-0.24,2025-09-26T18:29:01.281304
41,0.55,0.12,-0.24,2025-09-26T18:29:01.589283
42,0.49,0.12,-0.24,2025-09-26T18:29:01.891830
43,0.49,0.12,-0.24,2025-09-26T18:29:01.895463
44,0.55,0.06,-0.24,2025-09-26T18:29:02.199539
45,0.55,0.12,-0.24,2025-09-26T18:29:02.456575
46,0.61,0.12,-0.24,2025-09-26T18:29:02.459334
47,0.55,0.12,-0.24,2025-09-26T18:29:02.812930
48,0.55,0.12,-0.24,2025-09-26T18:29:03.119807
49,0.55,0.12,-0.24,2025-09-26T18:29:03.123749
50,0.55,0.12,-0.24,2025-09-26T18:29:03.428947
51,0.55,0.12,-0.24,2025-09-26T18:29:03.733969
52,0.55,0.12,-0.24,2025-09-26T18:29:03.737155
53,0.55,0.12,-0.24,2025-09-26T18:29:03.995615
54,0.49,0.12,-0.24,2025-09-26T18:29:04.356809
55,0.55,0.12,-0.24,2025-09-26T18:29:04.360685
56,0.55,0.12,-0.24,2025-09-26T18:29:04.660038
57,0.55,0.12,-0.24,2025-09-26T18:29:04.967290
58,0.55,0.12,-0.24,2025-09-26T18:29:04.970984
59,0.55,0.12,-0.24,2025-09-26T18:29:05.279169
60,0.43,0.18,-0.24,2025-09-26T18:29:05.577301
61,0.55,0.06,-0.24,2025-09-26T18:29:05.579666
62,0.55,0.06,-0.24,2025-09-26T18:29:05.834214
63,0.55,0.12,-0.24,2025-09-26T18:29:06.191918
64,0.49,0.12,-0.24,2025-09-26T18:29:06.195657
65,0.49,0.12,-0.24,2025-09-26T18:29:06.447630
66,0.55,0.06,-0.24,2025-09-26T18:29:06.807383
67,0.55,0.12,-0.24,2025-09-26T18:29:06.810844
68,0.49,0.12,-0.24,2025-09-26T18:29:07.118026
69,0.55,0.06,-0.24,2025-09-26T18:29:07.420629
70,0.49,0.06,-0.24,2025-09-26T18:29:07.424880
71,0.55,0.12,-0.24,2025-09-26T18:29:07.728625
72,0.55,0.12,-0.24,2025-09-26T18:29:08.034498
73,0.55,0.06,-0.24,2025-09-26T18:29:08.040652
74,0.49,0.12,-0.24,2025-09-26T18:29:08.342294
75,0.55,0.12,-0.24,2025-09-26T18:29:08.651281
76,0.55,0.12,-0.24,2025-09-26T18:29:08.660333
77,0.55,0.12,-0.24,2025-09-26T18:29:08.956768
78,0.55,0.12,-0.24,2025-09-26T18:29:09.213754
79,0.55,0.12,-0.24,2025-09-26T18:29:09.216113
80,0.49,0.06,-0.24,2025-09-26T18:29:09.521860
81,0.49,0.12,-0.24,2025-09-26T18:29:09.921298
82,0.49,0.12,-0.24,2025-09-26T18:29:09.923692
83,0.49,0.06,-0.24,2025-09-26T18:29:10.237963
84,0.55,0.12,-0.24,2025-09-26T18:29:10.240044
85,0.55,0.12,-0.24,2025-09-26T18:29:10.496758
86,0.55,0.12,-0.24,2025-09-26T18:29:10.953795
87,0.49,0.12,-0.24,2025-09-26T18:29:10.957294
88,0.43,0.12,-0.18,2025-09-26T18:29:11.311797
89,0.61,0.06,-0.18,2025-09-26T18:29:11.317263
90,0.49,0.12,-0.24,2025-09-26T18:29:11.619384
91,0.55,0.12,-0.24,2025-09-26T18:29:11.926213
92,0.43,0.18,-0.24,2025-09-26T18:29:11.928158
93,0.55,0.06,-0.24,2025-09-26T18:29:12.309286
94,0.61,0.06,-0.24,2025-09-26T18:29:12.513888
95,0.55,0.06,-0.18,2025-09-26T18:29:12.521159
96,0.55,0.06,-0.24,2025-09-26T18:29:12.849562
97,0.55,0.06,-0.24,2025-09-26T18:29:13.156680
98,0.49,0.12,-0.24,2025-09-26T18:29:13.158520
99,0.49,0.12,-0.24,2025-09-26T18:29:13.417139
100,0.37,0.0,-0.06,2025-09-26T18:29:13.720305
101,0.55,0.12,-0.31,2025-09-26T18:29:13.722543
102,0.67,0.12,-0.24,2025-09-26T18:29:14.026353
103,0.55,0.18,-0.31,2025-09-26T18:29:14.334592
104,0.49,0.06,-0.24,2025-09-26T18:29:14.337165
105,0.49,0.12,-0.31,2025-09-26T18:29:14.691261
106,0.49,0.18,-0.31,2025-09-26T18:29:14.947077
107,0.61,0.06,-0.24,2025-09-26T18:29:14.952728
108,0.55,0.12,-0.24,2025-09-26T18:29:15.307578
109,0.55,0.12,-0.31,2025-09-26T18:29:15.574840
110,0.37,0.12,-0.24,2025-09-26T18:29:15.577875
111,0.49,0.18,-0.18,2025-09-26T18:29:15.869433
112,0.55,0.06,-0.31,2025-09-26T18:29:16.176948
113,0.43,0.06,-0.24,2025-09-26T18:29:16.179680
114,0.61,0.12,-0.24,2025-09-26T18:29:16.501799
115,0.55,0.12,-0.24,2025-09-26T18:29:16.844984
116,0.37,0.18,-0.24,2025-09-26T18:29:16.858456
117,0.37,0.12,-0.24,2025-09-26T18:29:17.099705
118,0.55,0.12,-0.24,2025-09-26T18:29:17.506992
119,0.55,0.12,-0.24,2025-09-26T18:29:17.510173
120,0.61,0.06,-0.31,2025-09-26T18:29:17.856728
121,0.49,0.12,-0.24,2025-09-26T18:29:17.862239
122,0.55,0.18,-0.24,2025-09-26T18:29:18.129658
123,0.55,0.06,-0.24,2025-09-26T18:29:18.532052
124,0.49,0.12,-0.24,2025-09-26T18:29:18.536028
125,0.55,0.0,-0.24,2025-09-26T18:29:18.887035
126,0.61,0.0,-0.24,2025-09-26T18:29:18.891328
127,0.49,0.12,-0.24,2025-09-26T18:29:19.247715
128,0.61,0.0,-0.24,2025-09-26T18:29:19.249005
129,0.55,0.18,-0.31,2025-09-26T18:29:19.561242
130,0.55,0.06,-0.24,2025-09-26T18:29:19.861602
131,0.61,0.06,-0.24,2025-09-26T18:29:19.863197
132,0.61,0.0,-0.24,2025-09-26T18:29:20.228211
133,0.55,0.06,-0.18,2025-09-26T18:29:20.585974
134,0.43,0.06,-0.18,2025-09-26T18:29:20.592067
135,0.49,0.06,-0.24,2025-09-26T18:29:20.931302
136,0.49,0.0,-0.18,2025-09-26T18:29:20.935267
137,0.49,0.24,-0.31,2025-09-26T18:29:21.348454
138,0.67,0.06,-0.24,2025-09-26T18:29:21.603675
139,0.43,0.18,-0.31,2025-09-26T18:29:21.605643
140,0.49,0.12,-0.24,2025-09-26T18:29:21.960817
141,0.61,0.06,-0.24,2025-09-26T18:29:21.963716
142,0.61,0.12,-0.31,2025-09-26T18:29:22.301186
143,0.55,0.12,-0.24,2025-09-26T18:29:22.629346
144,0.55,0.12,-0.24,2025-09-26T18:29:22.630924
145,0.55,0.12,-0.24,2025-09-26T18:29:23.012624
146,0.55,0.12,-0.24,2025-09-26T18:29:23.017003
147,0.55,0.06,-0.24,2025-09-26T18:29:23.394820
148,0.49,0.12,-0.24,2025-09-26T18:29:23.650291
149,0.55,0.12,-0.24,2025-09-26T18:29:23.651995
150,0.55,0.12,-0.24,2025-09-26T18:29:23.959968
151,0.55,0.06,-0.24,2025-09-26T18:29:23.983786
152,0.55,0.12,-0.24,2025-09-26T18:29:24.317913
153,0.55,0.12,-0.24,2025-09-26T18:29:24.689855
154,0.55,0.12,-0.24,2025-09-26T18:29:24.691556
155,0.49,0.06,-0.24,2025-09-26T18:29:24.946343
156,0.55,0.06,-0.24,2025-09-26T18:29:24.948025
157,0.55,0.12,-0.24,2025-09-26T18:29:25.332775
158,0.55,0.12,-0.24,2025-09-26T18:29:25.565310
159,0.55,0.06,-0.24,2025-09-26T18:29:25.567949
160,0.55,0.12,-0.24,2025-09-26T18:29:26.070778
161,0.55,0.06,-0.24,2025-09-26T18:29:26.074677
162,0.55,0.12,-0.18,2025-09-26T18:29:26.416601
163,0.55,0.06,-0.24,2025-09-26T18:29:26.419507
164,0.49,0.12,-0.18,2025-09-26T18:29:26.727754
165,0.55,0.06,-0.24,2025-09-26T18:29:27.033166
166,0.55,0.12,-0.18,2025-09-26T18:29:27.044572
167,0.49,0.12,-0.24,2025-09-26T18:29:27.378483
168,0.49,0.06,-0.24,2025-09-26T18:29:27.644744
169,0.55,0.06,-0.24,2025-09-26T18:29:27.650756
170,0.55,0.06,-0.24,2025-09-26T18:29:27.951855
171,0.55,0.12,-0.24,2025-09-26T18:29:28.327849
172,0.55,0.12,-0.24,2025-09-26T18:29:28.332631
173,0.61,0.12,-0.24,2025-09-26T18:29:28.567266
174,0.55,0.06,-0.24,2025-09-26T18:29:28.926372
175,0.55,0.06,-0.31,2025-09-26T18:29:28.974073
176,0.55,0.12,-0.24,2025-09-26T18:29:29.184810
177,0.55,0.06,-0.24,2025-09-26T18:29:29.611942
178,0.55,0.06,-0.24,2025-09-26T18:29:29.628661
179,0.55,0.06,-0.24,2025-09-26T18:29:29.896479
180,0.49,0.12,-0.18,2025-09-26T18:29:29.902254
