x,y,z,timestamp
0.55,0.06,-0.24,2025-09-26 16:57:00.175
0.55,0.12,-0.24,2025-09-26 16:57:00.507
0.55,0.12,-0.24,2025-09-26 16:57:00.570
0.55,0.12,-0.24,2025-09-26 16:57:00.789
0.55,0.06,-0.18,2025-09-26 16:57:01.147
0.55,0.12,-0.24,2025-09-26 16:57:01.427
0.49,0.06,-0.24,2025-09-26 16:57:01.452
0.61,0.06,-0.24,2025-09-26 16:57:01.762
0.55,0.12,-0.24,2025-09-26 16:57:01.788
0.55,0.12,-0.24,2025-09-26 16:57:02.017
0.55,0.12,-0.18,2025-09-26 16:57:02.329
0.55,0.12,-0.24,2025-09-26 16:57:02.355
0.55,0.06,-0.24,2025-09-26 16:57:02.688
0.55,0.12,-0.24,2025-09-26 16:57:02.939
0.49,0.12,-0.24,2025-09-26 16:57:02.965
0.55,0.12,-0.24,2025-09-26 16:57:03.297
0.49,0.12,-0.24,2025-09-26 16:57:03.604
0.49,0.06,-0.24,2025-09-26 16:57:03.629
0.55,0.06,-0.24,2025-09-26 16:57:03.860
0.55,0.06,-0.24,2025-09-26 16:57:04.219
0.55,0.12,-0.24,2025-09-26 16:57:04.245
0.49,0.12,-0.24,2025-09-26 16:57:04.479
0.55,0.06,-0.24,2025-09-26 16:57:04.834
0.55,0.12,-0.24,2025-09-26 16:57:04.861
0.55,0.12,-0.24,2025-09-26 16:57:05.090
0.49,0.12,-0.24,2025-09-26 16:57:05.450
0.55,0.12,-0.24,2025-09-26 16:57:05.483
0.49,0.12,-0.24,2025-09-26 16:57:05.703
0.55,0.12,-0.24,2025-09-26 16:57:06.150
0.55,0.06,-0.18,2025-09-26 16:57:06.204
0.49,0.06,-0.24,2025-09-26 16:57:06.532
0.55,0.12,-0.24,2025-09-26 16:57:06.635
0.55,0.06,-0.24,2025-09-26 16:57:06.668
0.55,0.06,-0.24,2025-09-26 16:57:07.059
0.55,0.06,-0.18,2025-09-26 16:57:07.240
0.55,0.12,-0.24,2025-09-26 16:57:07.265
0.55,0.06,-0.24,2025-09-26 16:57:07.598
0.55,0.12,-0.18,2025-09-26 16:57:07.905
0.55,0.12,-0.24,2025-09-26 16:57:07.940
0.55,0.06,-0.24,2025-09-26 16:57:08.177
0.61,0.12,-0.18,2025-09-26 16:57:08.522
0.73,0.0,-0.31,2025-09-26 16:57:08.553
0.43,0.12,-0.24,2025-09-26 16:57:08.779
0.55,0.0,-0.18,2025-09-26 16:57:09.092
0.61,0.12,-0.24,2025-09-26 16:57:09.122
0.55,0.06,-0.24,2025-09-26 16:57:09.638
0.49,0.12,-0.24,2025-09-26 16:57:09.894
0.61,0.06,-0.24,2025-09-26 16:57:09.931
0.49,0.06,-0.24,2025-09-26 16:57:10.301
0.55,0.12,-0.24,2025-09-26 16:57:10.328
0.55,0.06,-0.24,2025-09-26 16:57:10.663
0.55,0.12,-0.24,2025-09-26 16:57:10.695
0.55,0.12,-0.24,2025-09-26 16:57:10.924
0.61,0.12,-0.24,2025-09-26 16:57:11.284
0.55,0.06,-0.24,2025-09-26 16:57:11.315
0.55,0.06,-0.24,2025-09-26 16:57:11.551
0.55,0.12,-0.24,2025-09-26 16:57:11.579
0.55,0.12,-0.24,2025-09-26 16:57:11.901
0.55,0.12,-0.24,2025-09-26 16:57:12.205
0.55,0.12,-0.24,2025-09-26 16:57:12.232
0.55,0.06,-0.24,2025-09-26 16:57:12.462
0.55,0.12,-0.24,2025-09-26 16:57:12.771
0.49,0.06,-0.24,2025-09-26 16:57:12.801
0.55,0.06,-0.24,2025-09-26 16:57:13.079
0.55,0.12,-0.24,2025-09-26 16:57:13.383
0.55,0.06,-0.24,2025-09-26 16:57:13.412
0.55,0.12,-0.24,2025-09-26 16:57:13.691
0.49,0.12,-0.24,2025-09-26 16:57:14.019
0.55,0.12,-0.18,2025-09-26 16:57:14.047
0.55,0.12,-0.24,2025-09-26 16:57:14.356
0.55,0.12,-0.24,2025-09-26 16:57:14.613
0.55,0.12,-0.18,2025-09-26 16:57:14.643
0.55,0.06,-0.24,2025-09-26 16:57:14.985
0.49,0.12,-0.18,2025-09-26 16:57:15.228
0.55,0.12,-0.24,2025-09-26 16:57:15.253
0.55,0.06,-0.24,2025-09-26 16:57:15.585
0.55,0.12,-0.24,2025-09-26 16:57:15.893
0.49,0.06,-0.24,2025-09-26 16:57:15.919
0.55,0.06,-0.24,2025-09-26 16:57:16.149
0.55,0.12,-0.24,2025-09-26 16:57:16.508
0.55,0.12,-0.24,2025-09-26 16:57:16.534
0.55,0.06,-0.24,2025-09-26 16:57:16.763
